id	submission_id	user	username	userImageURL	downloadURL	hyperparameter	description	result	last	final	accuracy
32	11762	110	"박종헌_T1077"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000004/Users/00000110/Submissions/0032/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210423%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210423T061344Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=fcd64b162fdaddf151f8fc7af36ca13cd6ca72ba87f54eb17978823c918ce210"	"{\"training\": {}, \"inference\": {}}"	"roberta_kfold_v3"	"{\"accuracy\": {\"value\": \"79.9000%\", \"rank\": true, \"decs\": true}}"	"2021-04-22T14:11:28.686738+09:00"	true	"79.9000%"
33	12246	110	"박종헌_T1077"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000004/Users/00000110/Submissions/0033/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210423%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210423T061344Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=d72a9ce2baf72a525c360ebe7bf8243167d68c34cb49c88b13ed9b0735a605d6"	"{\"training\": {}, \"inference\": {}}"	"roberta_kfold_v3_2"	"{\"accuracy\": {\"value\": \"79.9000%\", \"rank\": true, \"decs\": true}}"	"2021-04-22T22:21:58.925653+09:00"	false	"79.9000%"
34	12271	110	"박종헌_T1077"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000004/Users/00000110/Submissions/0034/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210423%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210423T061344Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=402f440e3b633a2f2f1b88d7b32f5891fc78b8ea70ef9740a09c98e9ac8dd7d8"	"{\"training\": {}, \"inference\": {}}"	"roberta_kfold_v3_2"	"{\"accuracy\": {\"value\": \"79.9000%\", \"rank\": true, \"decs\": true}}"	"2021-04-22T22:22:36.266361+09:00"	false	"79.9000%"
21	10227	110	"박종헌_T1077"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000004/Users/00000110/Submissions/0021/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210423%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210423T061344Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=ae6a9110841bea187842c81a529b51a5a0933cb42028a85813b348eb05bc8dd5"	"{\"training\": {}, \"inference\": {}}"	"roberta_kfold_v2_0"	"{\"accuracy\": {\"value\": \"78.4000%\", \"rank\": true, \"decs\": true}}"	"2021-04-20T13:57:59.128201+09:00"	false	"78.4000%"
25	10730	110	"박종헌_T1077"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000004/Users/00000110/Submissions/0025/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210423%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210423T061344Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=aee99e5e723adbc9ec381ec183d72dca2a224d1341cb32e551cbd896a7fd28ce"	"{\"training\": {}, \"inference\": {}}"	"roberta_kfold_v2_1"	"{\"accuracy\": {\"value\": \"78.2000%\", \"rank\": true, \"decs\": true}}"	"2021-04-21T06:52:22.658899+09:00"	false	"78.2000%"
26	11100	110	"박종헌_T1077"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000004/Users/00000110/Submissions/0026/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210423%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210423T061344Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=dd581fe9601852fd5dea7f5b413c0febf63e296dc333627198f6e1e95fd6c2db"	"{\"training\": {}, \"inference\": {}}"	"roberta_kfold_v2_4"	"{\"accuracy\": {\"value\": \"78.2000%\", \"rank\": true, \"decs\": true}}"	"2021-04-21T17:14:18.660263+09:00"	false	"78.2000%"
20	9839	110	"박종헌_T1077"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000004/Users/00000110/Submissions/0020/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210423%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210423T061344Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=1b41cb167b20355a088e08159283d8c46ac2247743490e5a8e4986e56d3b1ed8"	"{\"training\": {}, \"inference\": {}}"	"roberta_v1_3"	"{\"accuracy\": {\"value\": \"77.4000%\", \"rank\": true, \"decs\": true}}"	"2021-04-19T20:00:56.612495+09:00"	false	"77.4000%"
15	9505	110	"박종헌_T1077"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000004/Users/00000110/Submissions/0015/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210423%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210423T061345Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=923a3022d7d657eaaefd838f7ffadb7260c8c9e18a08aab5e3e4714fd7c4abef"	"{\"training\": {}, \"inference\": {}}"	"roberta_v0_2"	"{\"accuracy\": {\"value\": \"77.0000%\", \"rank\": true, \"decs\": true}}"	"2021-04-19T08:20:22.267791+09:00"	false	"77.0000%"
19	9825	110	"박종헌_T1077"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000004/Users/00000110/Submissions/0019/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210423%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210423T061345Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=4437f8e15fa1548d9b1ff57512eabea2892e4d6522406aa25048a2da755dc8e8"	"{\"training\": {}, \"inference\": {}}"	"roberta_v1_2"	"{\"accuracy\": {\"value\": \"76.5000%\", \"rank\": true, \"decs\": true}}"	"2021-04-19T19:28:50.104440+09:00"	false	"76.5000%"
29	11333	110	"박종헌_T1077"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000004/Users/00000110/Submissions/0029/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210423%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210423T061345Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=d72ea3eb2994c0676e67ba4460f77f1468f68cd97c1d5f100fbb73d24f15a442"	"{\"training\": {}, \"inference\": {}}"	"Rbert_Roberta_v1_1"	"{\"accuracy\": {\"value\": \"76.4000%\", \"rank\": true, \"decs\": true}}"	"2021-04-22T00:09:38.887826+09:00"	false	"76.4000%"
